Date,Open,High,Low,Close,Volume,Adj Close
2009-04-03,35.74,36.58,35.26,36.50,3252800,36.50
2009-04-02,35.90,36.74,34.92,36.03,3896100,36.03
2009-04-01,34.40,35.43,33.69,35.40,3310200,35.40
2009-03-31,34.81,35.47,34.03,35.01,2442900,35.01
2009-03-30,34.70,35.05,33.62,35.05,2188000,35.05
2009-03-27,35.66,35.66,34.71,34.78,2977300,34.78
2009-03-26,34.64,36.01,34.34,35.37,27860200,35.37
2009-03-25,33.33,34.27,33.19,34.10,3271500,34.10
2009-03-24,33.54,34.37,32.71,33.42,2439400,33.42
2009-03-23,33.56,34.02,32.55,33.76,4633000,33.76
2009-03-20,34.95,35.80,34.47,34.91,2079600,34.91
2009-03-19,35.97,36.17,34.87,35.63,3735500,35.63
2009-03-18,35.17,35.34,34.05,35.00,2473700,35.00
2009-03-17,33.58,35.00,33.19,35.00,2059600,35.00
2009-03-16,34.98,34.98,33.40,33.52,2469200,33.52
2009-03-13,35.28,35.47,34.62,34.90,1805500,34.90
2009-03-12,34.12,35.42,33.66,35.28,2362800,35.28
2009-03-11,33.74,34.42,33.63,34.02,2685000,34.02
2009-03-10,32.57,33.93,32.33,33.75,3014400,33.75
2009-03-09,32.07,32.70,31.65,31.78,1739500,31.78
2009-03-06,32.85,32.85,31.44,32.14,3686700,32.14
2009-03-05,32.22,32.89,31.90,32.51,3583700,32.51
2009-03-04,33.35,33.35,32.19,32.49,3543900,32.49
2009-03-03,33.76,33.88,32.35,32.44,5202200,32.44
2009-03-02,32.70,33.50,32.13,32.23,3693600,32.23
2009-02-27,32.35,33.59,31.55,33.36,8087500,33.36
2009-02-26,33.60,33.75,32.45,32.84,3396400,32.84
2009-02-25,33.07,33.80,32.55,33.25,3310900,33.25
2009-02-24,32.53,33.37,32.30,33.30,4498800,33.30
2009-02-23,32.98,33.04,31.56,31.73,3879500,31.73
2009-02-20,32.99,33.25,31.86,32.71,6070700,32.71
2009-02-19,30.59,33.19,30.59,32.84,10247500,32.84
2009-02-18,27.74,27.95,26.83,27.74,4627400,27.74
2009-02-17,27.90,28.05,27.19,27.26,3620800,27.26
2009-02-13,28.80,29.14,28.33,28.61,1581800,28.61
2009-02-12,28.17,28.83,27.49,28.83,2338400,28.83
2009-02-11,28.87,29.41,28.15,28.56,2916100,28.56
2009-02-10,29.29,30.19,27.96,28.69,5154700,28.69
2009-02-09,30.61,31.05,30.15,30.91,1628000,30.91
2009-02-06,29.60,30.97,29.48,30.72,2760500,30.72
2009-02-05,28.92,29.90,28.77,29.60,1965300,29.60
2009-02-04,29.98,30.17,29.09,29.29,1033700,29.29
2009-02-03,29.14,30.16,28.40,29.95,1693700,29.95
2009-02-02,28.82,29.30,28.59,29.10,1792000,29.10
2009-01-30,30.76,30.95,28.96,29.07,1858100,29.07
2009-01-29,30.67,31.20,30.29,30.55,1149000,30.55
2009-01-28,30.27,31.42,30.18,31.05,2159400,31.05
2009-01-27,30.13,30.53,29.64,30.05,1099800,30.05
2009-01-26,30.03,30.67,29.22,30.09,2520700,30.09
2009-01-23,26.69,29.57,26.69,29.02,2304700,29.02
2009-01-22,27.42,28.89,27.06,28.62,1981400,28.62
2009-01-21,27.95,28.12,26.97,28.05,1768500,28.05
2009-01-20,27.00,28.79,27.00,27.62,1441900,27.62
2009-01-16,28.71,29.02,28.09,28.54,1627500,28.54
2009-01-15,27.07,28.64,26.47,28.30,2529000,28.30
2009-01-14,28.07,28.07,26.94,27.00,2164000,27.00
2009-01-13,28.04,28.69,27.91,28.33,1409400,28.33
2009-01-12,28.22,28.49,27.84,28.16,1053400,28.16
2009-01-09,29.14,29.45,27.86,28.28,1614100,28.28
