Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,83.79,84.08,82.54,82.67,2049800,76.50
2009-12-30,84.00,84.30,83.66,83.90,2595000,77.64
2009-12-29,83.78,84.32,83.65,84.13,3865900,77.85
2009-12-28,82.78,83.59,82.67,83.45,2353800,77.22
2009-12-24,82.31,83.00,82.31,82.55,931200,76.39
2009-12-23,81.96,82.32,81.40,82.19,1900200,76.06
2009-12-22,81.85,82.31,81.54,81.96,1844100,75.84
2009-12-21,81.03,82.22,80.93,81.43,2761300,75.35
2009-12-18,80.80,81.35,80.55,80.97,6667700,74.93
2009-12-17,81.39,81.48,80.34,80.47,3841700,74.47
2009-12-16,82.52,83.02,81.52,81.72,3979200,75.62
2009-12-15,82.10,82.93,81.54,82.70,4633000,76.53
2009-12-14,82.01,82.17,81.64,81.91,4999400,75.80
2009-12-11,80.58,81.81,80.45,81.75,4788800,75.65
2009-12-10,79.96,80.76,79.72,80.68,5050900,74.66
2009-12-09,78.25,79.93,78.05,79.74,6599400,73.79
2009-12-08,76.35,77.43,76.00,77.11,5046700,71.36
2009-12-07,77.91,78.86,77.65,77.91,3056100,72.10
2009-12-04,77.58,78.60,77.37,78.24,4376000,72.40
2009-12-03,78.40,78.66,76.98,77.15,2992800,71.39
2009-12-02,78.42,79.14,77.91,78.41,2977300,72.56
2009-12-01,77.85,79.00,77.84,78.63,3058400,72.76
2009-11-30,76.89,77.82,76.47,77.44,3930100,71.66
2009-11-27,76.12,77.23,76.12,76.75,1865900,71.02
2009-11-25,77.87,78.01,77.49,77.91,1939200,72.10
2009-11-24,77.53,77.87,76.97,77.61,2776600,71.82
2009-11-23,77.15,78.07,76.95,77.73,3397500,71.93
2009-11-20,77.12,77.22,76.25,76.64,3027500,70.92
2009-11-19,77.46,77.64,76.22,77.25,2527900,71.49
2009-11-18,78.06,78.13,77.33,77.80,2540500,71.99
2009-11-17,77.89,78.79,77.89,78.78,3094600,72.43
2009-11-16,77.55,78.29,77.43,78.02,2994500,71.73
2009-11-13,77.22,77.88,76.72,77.32,2423500,71.09
2009-11-12,77.91,78.17,76.95,77.21,2451700,70.99
2009-11-11,78.09,79.00,77.71,77.96,2876400,71.68
2009-11-10,77.04,78.28,77.04,77.99,3503800,71.70
2009-11-09,75.93,77.28,75.50,77.20,3950800,70.98
