Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,40.90,41.08,40.49,40.52,4030500,38.63
2009-12-30,40.60,40.83,40.34,40.80,3557100,38.89
2009-12-29,41.01,41.25,40.60,40.88,4438200,38.97
2009-12-28,41.69,41.79,40.87,41.05,5369900,39.13
2009-12-24,41.35,41.70,41.28,41.68,2070000,39.73
2009-12-23,41.60,41.84,41.07,41.21,5296400,39.29
2009-12-22,40.94,41.53,40.61,41.42,6678100,39.49
2009-12-21,40.66,41.17,40.52,41.02,5424200,39.10
2009-12-18,40.70,40.75,39.97,40.51,10893400,38.62
2009-12-17,40.93,41.08,40.27,40.45,8147500,38.56
2009-12-16,41.32,41.86,40.89,41.27,9685800,39.34
2009-12-15,40.74,41.47,40.51,40.96,10839400,39.05
2009-12-14,40.74,41.64,40.59,41.28,9744000,39.35
2009-12-11,40.34,40.78,40.20,40.73,8117500,38.83
2009-12-10,40.01,40.29,39.88,40.23,9670400,38.35
2009-12-09,39.01,39.98,39.00,39.88,8852200,38.02
2009-12-08,39.21,39.61,39.02,39.13,7920700,37.30
2009-12-07,39.88,40.14,39.11,39.41,9352800,37.57
2009-12-04,39.68,40.60,38.79,39.30,20180800,37.46
2009-12-03,41.03,41.03,38.81,38.87,19938400,37.05
2009-12-02,40.92,41.25,40.53,41.04,11507200,39.12
2009-12-01,42.21,42.25,40.97,41.30,11654200,39.37
2009-11-30,40.89,41.89,40.77,41.83,14374600,39.88
2009-11-27,40.71,41.40,40.45,40.84,6005400,38.93
2009-11-25,41.77,41.91,41.45,41.72,7082000,39.77
2009-11-24,41.57,41.65,41.01,41.44,7228500,39.50
2009-11-23,41.81,42.20,41.29,41.63,11750900,39.69
2009-11-20,40.84,41.09,40.49,40.93,10664000,39.02
2009-11-19,41.30,41.50,40.57,41.14,12309400,39.22
2009-11-18,41.30,41.62,40.95,41.57,8562000,39.63
2009-11-17,41.28,41.41,40.65,41.36,10112800,39.43
2009-11-16,40.66,41.98,40.30,41.44,20279300,39.50
2009-11-13,39.62,40.41,39.31,40.35,15482300,38.47
2009-11-12,40.05,40.30,39.36,39.50,9884200,37.66
2009-11-11,39.95,40.60,39.75,40.05,13390400,38.18
2009-11-10,38.94,39.86,38.77,39.68,13619100,37.83
2009-11-09,37.67,39.16,37.50,39.05,16653700,37.23
2009-11-06,37.28,37.98,36.91,37.21,12060100,35.47
2009-11-05,36.25,37.83,36.02,37.74,14870400,35.98
2009-11-04,36.35,36.72,35.80,35.96,12036500,34.28
2009-11-03,35.24,36.15,34.80,36.04,11244600,34.36
2009-11-02,34.95,35.88,34.63,35.68,12571600,34.01
2009-10-30,36.13,36.25,34.58,34.84,13368900,33.21
2009-10-29,35.12,36.47,35.03,36.44,13562400,34.74
2009-10-28,35.72,35.94,34.42,34.67,13699300,33.05
2009-10-27,34.94,36.16,34.79,35.95,18261400,34.27
2009-10-26,34.99,35.90,34.68,34.88,17918000,33.25
2009-10-23,36.19,37.17,34.26,34.58,21568000,32.96
2009-10-22,35.09,36.44,34.76,36.44,14040100,34.74
2009-10-21,35.61,36.36,35.07,35.10,13545500,33.46
2009-10-20,35.68,36.20,35.26,35.42,8300600,33.77
2009-10-19,35.13,35.91,34.98,35.74,8045700,34.07
2009-10-16,35.14,35.41,34.52,34.95,14585700,33.32
2009-10-15,34.56,35.59,34.20,35.54,21644300,33.88
2009-10-14,35.27,35.31,34.57,35.09,15330800,33.45
2009-10-13,34.91,35.68,34.76,34.84,10274200,33.21
2009-10-12,35.06,35.44,34.89,35.08,6446700,33.44
2009-10-09,34.96,35.10,34.34,34.94,7107600,33.31
2009-10-08,34.21,35.07,34.06,34.98,11992100,33.35
2009-10-07,33.26,34.05,33.22,33.99,8742000,32.40
2009-10-06,33.54,33.75,32.88,33.52,12523400,31.95
2009-10-05,32.76,33.50,32.64,33.22,9479100,31.67
2009-10-02,31.95,33.23,31.69,32.49,12215500,30.97
2009-10-01,33.85,33.89,32.42,32.46,15168400,30.94
2009-09-30,34.06,34.85,33.14,33.90,15041200,32.32
2009-09-29,34.57,34.89,33.95,33.99,9337400,32.23
2009-09-28,33.19,34.51,32.93,34.41,10510600,32.63
2009-09-25,33.60,34.03,32.60,33.07,15160200,31.36
2009-09-24,33.73,34.00,32.84,33.85,14496500,32.10
2009-09-23,34.07,34.33,33.42,33.60,10453700,31.86
2009-09-22,34.20,34.36,33.85,33.97,12144100,32.21
2009-09-21,34.40,34.50,33.66,33.76,10264800,32.01
2009-09-18,35.09,35.18,34.43,34.77,17530500,32.97
2009-09-17,35.83,36.50,34.92,35.00,12231200,33.19
2009-09-16,34.90,36.39,34.69,35.84,15180600,33.99
2009-09-15,33.96,34.87,33.48,34.65,15605600,32.86
2009-09-14,33.75,34.15,33.66,33.92,9059700,32.16
2009-09-11,34.41,34.56,33.75,34.17,8438100,32.40
2009-09-10,33.97,34.50,33.40,34.40,10059200,32.62
2009-09-09,33.53,34.29,33.27,34.09,10337200,32.33
2009-09-08,33.43,33.63,32.75,33.49,9290100,31.76
2009-09-04,32.55,32.86,32.11,32.84,6575700,31.14
2009-09-03,32.23,32.50,31.78,32.46,10177800,30.78
2009-09-02,31.86,32.53,31.68,31.95,11438200,30.30
2009-09-01,33.58,33.90,31.89,31.98,16860800,30.32
2009-08-31,33.82,33.97,33.47,33.82,9759700,32.07
2009-08-28,34.36,34.50,33.80,34.24,10720000,32.47
2009-08-27,33.06,34.23,32.92,33.96,13218400,32.20
2009-08-26,32.57,33.20,32.48,33.14,9339700,31.42
2009-08-25,33.09,33.33,32.50,32.82,11389200,31.12
2009-08-24,33.70,33.93,32.60,32.67,14358100,30.98
2009-08-21,32.96,33.07,32.50,32.85,12274900,31.15
2009-08-20,31.83,32.62,31.67,32.52,9192700,30.84
2009-08-19,31.29,31.76,31.14,31.70,7726200,30.06
2009-08-18,30.89,31.95,30.77,31.69,12025300,30.05
2009-08-17,30.74,30.89,30.09,30.39,14285400,28.82
2009-08-14,31.97,32.09,31.16,31.72,7635700,30.08
2009-08-13,31.89,32.06,31.30,31.98,8775800,30.32
2009-08-12,31.23,32.15,31.17,31.80,9056500,30.15
2009-08-11,32.27,32.48,31.15,31.51,13625300,29.88
2009-08-10,32.51,32.97,31.97,32.34,11879700,30.67
2009-08-07,32.06,33.70,31.98,32.69,26253200,31.00
2009-08-06,31.60,32.24,30.92,31.31,28326300,29.69
2009-08-05,28.85,30.66,28.13,30.36,23261100,28.79
2009-08-04,28.49,29.04,28.24,28.71,12707800,27.22
2009-08-03,28.90,29.09,28.35,28.65,13532200,27.17
2009-07-31,28.04,28.39,27.80,28.33,11846600,26.86
2009-07-30,28.27,28.80,27.94,28.23,14022800,26.77
2009-07-29,27.38,28.11,27.38,27.75,13532900,26.31
2009-07-28,28.00,28.03,27.10,27.68,19577900,26.25
2009-07-27,29.49,29.60,28.11,28.38,23212800,26.91
2009-07-24,28.60,29.86,28.09,29.51,32288000,27.98
2009-07-23,28.99,30.00,28.62,29.45,21426800,27.93
2009-07-22,28.91,29.15,28.52,28.76,12677600,27.27
2009-07-21,29.02,29.54,28.64,29.38,16987600,27.86
2009-07-20,28.28,28.98,28.18,28.89,16315100,27.39
2009-07-17,28.04,28.32,27.23,28.03,17890600,26.58
2009-07-16,26.97,28.56,26.66,28.28,21570800,26.82
2009-07-15,24.82,27.75,24.81,27.22,38331300,25.81
