Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,44.66,44.69,43.92,43.98,3378800,40.64
2009-12-30,44.67,44.88,44.35,44.50,3924100,41.12
2009-12-29,44.33,44.94,44.33,44.90,4386800,41.49
2009-12-28,44.42,44.42,43.73,44.40,3477700,41.02
2009-12-24,44.40,44.40,43.76,44.12,1615600,40.77
2009-12-23,43.32,44.43,43.26,44.40,5509400,41.02
2009-12-22,43.57,43.71,43.35,43.55,3771700,40.24
2009-12-21,43.29,43.84,43.06,43.56,5549500,40.25
2009-12-18,42.85,43.22,42.50,43.22,9562500,39.93
2009-12-17,43.28,43.40,42.50,42.87,6326900,39.61
2009-12-16,43.94,44.15,43.58,43.60,4184200,40.29
2009-12-15,43.70,44.01,43.36,43.87,4521600,40.54
2009-12-14,43.66,44.27,43.66,43.87,5229500,40.54
2009-12-11,43.49,43.92,43.32,43.48,4381300,40.17
2009-12-10,42.89,43.43,42.83,43.32,6565100,40.03
2009-12-09,42.89,42.91,42.24,42.84,4623900,39.58
2009-12-08,43.00,43.21,42.40,42.79,6365100,39.54
2009-12-07,43.02,43.75,43.02,43.06,5231100,39.79
2009-12-04,43.37,43.68,42.74,43.06,6359400,39.79
2009-12-03,43.73,43.92,43.04,43.12,6359100,39.84
2009-12-02,42.53,43.67,42.53,43.62,8428000,40.30
2009-12-01,42.70,42.95,42.28,42.69,6500100,39.44
2009-11-30,42.67,42.77,42.03,42.44,7582400,39.21
2009-11-27,42.42,43.22,42.08,42.99,3006800,39.72
2009-11-25,42.95,43.48,42.79,43.18,5915500,39.90
2009-11-24,42.73,43.65,40.31,43.25,23245900,39.96
2009-11-23,39.76,40.46,39.76,40.31,5613900,37.25
2009-11-20,39.59,39.94,39.38,39.62,5052800,36.61
2009-11-19,39.65,39.72,39.15,39.61,3564400,36.60
2009-11-18,39.90,40.10,39.50,39.71,5164800,36.69
2009-11-17,39.38,40.20,39.27,40.20,6690100,37.14
2009-11-16,39.59,40.22,39.49,40.08,4748300,37.03
2009-11-13,39.79,40.08,39.33,39.46,4726400,36.46
2009-11-12,39.87,40.20,39.62,39.83,5090100,36.80
2009-11-11,39.67,40.18,39.66,40.10,7332300,37.05
2009-11-10,39.35,39.95,39.27,39.55,5668500,36.54
2009-11-09,38.28,39.32,38.09,39.28,7270700,36.29
2009-11-06,38.37,38.48,37.79,37.97,5653000,35.08
2009-11-05,37.36,38.49,37.28,38.42,9138100,35.50
2009-11-04,35.95,36.88,35.91,36.55,5142800,33.77
2009-11-03,36.12,36.36,35.67,35.99,4385400,33.25
2009-11-02,35.73,36.30,35.67,36.12,5359000,33.37
2009-10-30,36.14,36.65,35.64,35.70,6809400,32.99
2009-10-29,36.04,36.31,35.58,36.27,5595000,33.51
2009-10-28,36.26,36.58,36.03,36.03,5414100,33.29
2009-10-27,36.37,36.68,36.00,36.36,6221200,33.60
2009-10-26,36.41,36.84,36.06,36.27,4960100,33.51
2009-10-23,37.11,37.23,36.32,36.37,8127800,33.61
2009-10-22,36.57,37.37,36.38,37.23,5798200,34.40
2009-10-21,36.69,37.42,36.57,36.60,7090900,33.82
2009-10-20,37.50,37.50,36.54,36.65,13309600,33.86
2009-10-19,37.51,38.07,37.42,37.99,7625100,35.10
2009-10-16,37.10,37.53,36.79,37.42,8116300,34.58
2009-10-15,36.83,37.11,36.65,37.04,10285600,34.22
2009-10-14,37.09,37.19,36.85,36.97,7589000,34.16
2009-10-13,36.80,37.32,36.78,37.00,7749000,34.19
2009-10-12,37.17,37.28,36.78,36.93,4754000,34.12
2009-10-09,36.96,37.28,36.88,37.20,4398100,34.37
2009-10-08,36.73,37.52,36.71,36.91,7760700,34.10
2009-10-07,36.11,36.88,35.75,36.84,7275100,34.04
2009-10-06,35.30,36.22,35.24,36.19,15985800,33.25
2009-10-05,36.58,36.58,35.91,36.45,5365000,33.49
2009-10-02,36.31,36.76,36.24,36.46,4866300,33.50
2009-10-01,36.80,36.95,36.36,36.72,8079700,33.74
2009-09-30,37.27,37.28,36.38,36.80,6855900,33.81
2009-09-29,37.51,37.67,37.08,37.14,3982600,34.12
2009-09-28,36.89,37.75,36.79,37.48,4394900,34.43
2009-09-25,36.82,37.06,36.53,36.79,4720700,33.80
2009-09-24,36.99,37.17,36.58,36.82,4200100,33.83
2009-09-23,37.40,37.49,36.81,36.86,5560400,33.87
2009-09-22,37.53,37.56,36.88,37.35,8185600,34.32
2009-09-21,37.29,37.61,37.17,37.48,4735700,34.43
2009-09-18,37.86,38.01,37.35,37.46,9719500,34.42
2009-09-17,37.75,38.17,37.37,37.87,6587500,34.79
2009-09-16,38.18,38.20,37.34,37.85,6443200,34.77
2009-09-15,38.69,38.76,37.81,38.16,5971200,35.06
2009-09-14,37.86,38.68,37.35,38.64,8161100,35.50
2009-09-11,38.93,39.05,37.88,37.90,10636200,34.82
2009-09-10,39.08,39.29,38.56,39.01,4978300,35.84
2009-09-09,38.53,39.39,38.52,39.06,4463900,35.89
2009-09-08,38.95,38.95,38.15,38.52,7312300,35.39
2009-09-04,38.03,38.83,37.95,38.71,4267300,35.56
2009-09-03,38.34,38.34,37.56,38.07,4943100,34.98
2009-09-02,37.85,38.45,37.67,38.14,5414600,35.04
2009-09-01,38.27,38.82,37.61,37.85,10094800,34.77
2009-08-31,38.67,38.77,37.85,38.30,5621500,35.19
2009-08-28,39.16,39.21,38.12,38.67,5866700,35.53
2009-08-27,38.06,39.02,38.06,38.98,6985200,35.81
2009-08-26,37.74,38.45,37.74,38.17,7800700,35.07
2009-08-25,37.32,38.15,37.29,37.86,10368700,34.78
2009-08-24,38.02,38.12,37.63,38.00,6392400,34.91
2009-08-21,37.95,38.45,37.15,37.80,9837100,34.73
2009-08-20,37.26,37.75,36.92,37.63,4197900,34.57
2009-08-19,36.32,37.17,36.32,37.04,6557900,34.03
2009-08-18,37.15,37.15,36.30,36.56,4392300,33.59
2009-08-17,36.84,37.32,36.77,37.02,4824100,34.01
2009-08-14,36.65,37.13,36.59,37.01,5819500,34.00
2009-08-13,37.04,37.04,36.36,36.54,5095000,33.57
2009-08-12,36.45,37.22,36.20,36.94,5397600,33.94
2009-08-11,36.48,36.99,36.43,36.55,4889900,33.58
2009-08-10,35.69,36.65,35.63,36.63,5253300,33.65
2009-08-07,35.77,36.01,35.59,35.73,4006300,32.83
2009-08-06,36.01,36.18,35.22,35.58,4130200,32.69
2009-08-05,36.17,36.35,35.56,36.02,5077700,33.09
2009-08-04,35.88,36.35,35.63,36.20,6454700,33.26
2009-08-03,35.72,35.95,35.18,35.92,6489800,33.00
2009-07-31,35.39,35.95,35.30,35.42,6641700,32.54
2009-07-30,35.31,35.62,34.82,35.36,6361600,32.49
2009-07-29,34.70,35.00,34.42,34.98,5331500,32.14
2009-07-28,34.71,35.01,34.64,34.82,6239200,31.99
2009-07-27,35.12,35.22,34.44,34.81,6701900,31.98
2009-07-24,34.29,35.08,34.24,35.05,4612300,32.20
2009-07-23,34.13,34.87,34.11,34.38,7247400,31.59
2009-07-22,34.91,35.14,33.93,34.09,6154900,31.32
2009-07-21,34.96,35.35,34.68,35.01,3577500,32.17
2009-07-20,34.74,35.11,34.40,34.75,5662200,31.93
2009-07-17,34.57,34.89,34.50,34.67,5230900,31.85
2009-07-16,34.43,34.82,34.30,34.64,5041300,31.83
2009-07-15,33.93,34.56,33.63,34.54,6027100,31.73
2009-07-14,33.42,33.82,33.24,33.75,4858000,31.01
2009-07-13,32.93,33.54,32.68,33.44,4142800,30.72
2009-07-10,32.70,33.16,32.45,32.80,5144300,30.14
2009-07-09,32.99,32.99,32.38,32.73,4275200,30.07
2009-07-08,33.29,33.52,32.70,32.82,6425600,30.15
2009-07-07,33.97,34.09,33.25,33.35,4463800,30.45
2009-07-06,34.28,34.50,33.71,33.96,4506200,31.01
2009-07-02,34.78,34.91,33.84,34.26,5998400,31.28
2009-07-01,34.97,34.97,34.36,34.71,5030600,31.69
2009-06-30,34.68,34.90,34.40,34.89,7273900,31.86
2009-06-29,34.97,35.02,34.31,34.79,6579500,31.77
2009-06-26,34.66,35.11,33.83,34.97,8489400,31.93
2009-06-25,33.60,34.92,33.44,34.72,6447800,31.70
2009-06-24,33.51,33.87,33.29,33.61,6014700,30.69
2009-06-23,33.75,34.19,33.13,33.37,9525600,30.47
2009-06-22,33.75,33.75,33.15,33.19,7862900,30.31
2009-06-19,33.65,34.42,33.61,33.96,8906300,31.01
2009-06-18,32.92,33.71,32.78,33.35,6731400,30.45
